epoch,train_loss,val_loss,train_acc,val_acc
0,0.022093314677476883,,,
1,0.013378256000578403,,,
2,0.010548824444413185,,,
3,0.009314964525401592,,,
4,0.008551123552024364,,,
5,0.007983463816344738,,,
6,0.007500537671148777,,,
7,0.0071171182207763195,,,
8,0.006747570354491472,,,
9,0.006392846815288067,,,
10,0.0060821594670414925,,,
11,0.005784434266388416,,,
12,0.005540283862501383,,,
13,0.005252889823168516,,,
14,0.005036817863583565,,,
15,0.0048148236237466335,,,
16,0.004624847788363695,,,
17,0.004450461361557245,,,
18,0.004298926796764135,,,
19,0.004163880832493305,,,
20,0.004011376295238733,,,
21,0.003907275386154652,,,
22,0.003788206959143281,,,
23,0.0036901466082781553,,,
24,0.0036102021113038063,,,
25,0.003509403206408024,,,
26,0.0034297641832381487,,,
27,0.0033535510301589966,,,
28,0.0032902657985687256,,,
29,0.00319064618088305,,,
30,0.0031303223222494125,,,
31,0.0030640466138720512,,,
32,0.002997435862198472,,,
33,0.002931311260908842,,,
34,0.002882146742194891,,,
35,0.0028296594973653555,,,
36,0.002781032118946314,,,
37,0.0027377696242183447,,,
38,0.0027031691279262304,,,
39,0.002676213625818491,,,
40,0.002617698395624757,,,
41,0.0026077069342136383,,,
42,0.0025684263091534376,,,
43,0.0025306164752691984,,,
44,0.002499059773981571,,,
45,0.0024915854446589947,,,
46,0.0024537215940654278,,,
47,0.002431935630738735,,,
48,0.0024105319753289223,,,
49,0.0024027752224355936,,,
